DATETIME,alt(km),lat(deg),lon(deg)
2019-07-31 22:44:00,6015.59629,6.439961,267.536533
2019-07-31 22:49:00,6005.51917,12.144509,272.837803
2019-07-31 22:54:00,6041.44857,17.67589,278.406549
2019-07-31 22:59:00,6122.25488,22.908366,284.326813
2019-07-31 23:04:00,6245.52312,27.716432,290.670822
2019-07-31 23:09:00,6407.75804,31.97993,297.485584
2019-07-31 23:14:00,6604.65386,35.59073,304.775149
2019-07-31 23:19:00,6831.38587,38.461468,312.482432
2019-07-31 23:24:00,7082.88656,40.535712,320.478982
2019-07-31 23:29:00,7354.08054,41.797011,328.572803
2019-07-31 23:34:00,7640.06578,42.272814,336.538351
2019-07-31 23:39:00,7936.23955,42.030219,344.159972
2019-07-31 23:44:00,8238.37523,41.164127,351.270553
2019-07-31 23:49:00,8542.65909,39.781974,357.770658
2019-07-31 23:54:00,8845.69747,37.990005,3.626187
2019-07-31 23:59:00,9144.5036,35.884062,8.852818
2019-08-01 00:04:00,9436.47176,33.545201,13.497189
2019-08-01 00:09:00,9719.34446,31.038923,17.621048
2019-08-01 00:14:00,9991.17693,28.416478,21.290385
2019-08-01 00:19:00,10250.30149,25.717039,24.569052
2019-08-01 00:24:00,10495.29371,22.970019,27.515637
2019-08-01 00:29:00,10724.9412,20.19718,30.182339
2019-08-01 00:34:00,10938.21548,17.414404,32.614964
2019-08-01 00:39:00,11134.24724,14.63312,34.853472
2019-08-01 00:44:00,11312.30466,11.861416,36.932749
2019-08-01 00:49:00,11471.77482,9.104909,38.883423
2019-08-01 00:54:00,11612.14782,6.367411,40.732643
2019-08-01 00:59:00,11733.00347,3.651448,42.504788
2019-08-01 01:04:00,11834.00016,0.958661,44.222097
2019-08-01 01:09:00,11914.8658,-1.709867,45.90523
2019-08-01 01:14:00,11975.3906,-4.353346,47.573763
2019-08-01 01:19:00,12015.42147,-6.971049,49.246643
2019-08-01 01:24:00,12034.85795,-9.562103,50.9426
2019-08-01 01:29:00,12033.64962,-12.125288,52.680538
2019-08-01 01:34:00,12011.79484,-14.658828,54.479918
2019-08-01 01:39:00,11969.34081,-17.160164,56.361118
2019-08-01 01:44:00,11906.385,-19.625699,58.345794
2019-08-01 01:49:00,11823.07796,-22.050492,60.457222
2019-08-01 01:54:00,11719.62759,-24.427904,62.720609
2019-08-01 01:59:00,11596.30497,-26.749165,65.16334
2019-08-01 02:04:00,11453.45186,-29.002867,67.815101
2019-08-01 02:09:00,11291.49018,-31.174355,70.707796
2019-08-01 02:14:00,11110.93355,-33.24505,73.875115
2019-08-01 02:19:00,10912.40118,-35.191698,77.351562
2019-08-01 02:24:00,10696.63438,-36.985623,81.170722
2019-08-01 02:29:00,10464.51608,-38.592095,85.362478
2019-08-01 02:34:00,10217.0934,-39.969984,89.94902
2019-08-01 02:39:00,9955.60368,-41.071968,94.939669
2019-08-01 02:44:00,9681.50391,-41.845589,100.325063
2019-08-01 02:49:00,9396.5035,-42.235423,106.071923
2019-08-01 02:54:00,9102.59979,-42.186413,112.120312
2019-08-01 02:59:00,8802.11519,-41.648098,118.385457
2019-08-01 03:04:00,8497.73407,-40.579032,124.76523
2019-08-01 03:09:00,8192.53615,-38.950467,131.152459
2019-08-01 03:14:00,7890.02185,-36.748553,137.449032
2019-08-01 03:19:00,7594.12295,-33.974803,143.577971
2019-08-01 03:24:00,7309.19011,-30.645248,149.490619
2019-08-01 03:29:00,7039.94717,-26.789051,155.168291
2019-08-01 03:34:00,6791.40132,-22.447335,160.619649
2019-08-01 03:39:00,6568.70013,-17.67266,165.875876
2019-08-01 03:44:00,6376.93106,-12.529139,170.985507
2019-08-01 03:49:00,6220.86822,-7.092892,176.010013
2019-08-01 03:54:00,6104.68366,-1.452332,181.020536
2019-08-01 03:59:00,6031.65393,4.292174,186.095578
2019-08-01 04:04:00,6003.90328,10.029572,191.319095
2019-08-01 04:09:00,6022.22573,15.64038,196.778117
2019-08-01 04:14:00,6086.01895,20.999806,202.55873
2019-08-01 04:19:00,6193.34195,25.981593,208.738963
2019-08-01 04:24:00,6341.08494,30.462716,215.377218
2019-08-01 04:29:00,6525.21919,34.329421,222.495872
2019-08-01 04:34:00,6741.08514,37.485215,230.062464
2019-08-01 04:39:00,6983.67824,39.860724,237.975224
2019-08-01 04:44:00,7247.90179,41.423632,246.063148
2019-08-01 04:49:00,7528.76949,42.185016,254.108051
2019-08-01 04:54:00,7821.55225,42.198314,261.884972
2019-08-01 04:59:00,8121.87281,41.549939,269.20495
2019-08-01 05:04:00,8425.7567,40.344622,275.942458
2019-08-01 05:09:00,8729.64961,38.690579,282.040451
2019-08-01 05:14:00,9030.41104,36.688427,287.49841
2019-08-01 05:19:00,9325.29254,34.425083,292.353696
2019-08-01 05:24:00,9611.90697,31.971836,296.664131
2019-08-01 05:29:00,9888.19369,29.385059,300.495211
2019-08-01 05:34:00,10152.38269,26.708167,303.912193
2019-08-01 05:39:00,10402.95994,23.973954,306.975913
2019-08-01 05:44:00,10638.63503,21.206805,309.741044
2019-08-01 05:49:00,10858.31195,18.424603,312.255762
2019-08-01 05:54:00,11061.06292,15.640282,314.562144
2019-08-01 05:59:00,11246.10564,12.863052,316.696887
2019-08-01 06:04:00,11412.78349,10.099355,318.692121
2019-08-01 06:09:00,11560.5487,7.353601,320.57621
2019-08-01 06:14:00,11688.94799,4.628734,322.374491
2019-08-01 06:19:00,11797.61073,1.926679,324.109937
2019-08-01 06:24:00,11886.23904,-0.751311,325.803736
2019-08-01 06:29:00,11954.59992,-3.404369,327.475816
2019-08-01 06:34:00,12002.51903,-6.03177,329.14531
2019-08-01 06:39:00,12029.87606,-8.63272,330.830981
2019-08-01 06:44:00,12036.60155,-11.206149,332.551628
2019-08-01 06:49:00,12022.67518,-13.750513,334.326461
2019-08-01 06:54:00,11988.12525,-16.263567,336.175474
2019-08-01 06:59:00,11933.02964,-18.742127,338.119805
2019-08-01 07:04:00,11857.51808,-21.181785,340.182083
2019-08-01 07:09:00,11761.77581,-23.576572,342.386756
2019-08-01 07:14:00,11646.04881,-25.918559,344.760364
2019-08-01 07:19:00,11510.65068,-28.197376,347.331712
2019-08-01 07:24:00,11355.97128,-30.399645,350.131879
2019-08-01 07:29:00,11182.48748,-32.508327,353.193923
2019-08-01 07:34:00,10990.7761,-34.501994,356.552144
2019-08-01 07:39:00,10781.52942,-36.354079,0.24065
2019-08-01 07:44:00,10555.57347,-38.032182,4.290997
2019-08-01 07:49:00,10313.88943,-39.497599,8.728658
2019-08-01 07:54:00,10057.63828,-40.705293,13.568264
2019-08-01 07:59:00,9788.18899,-41.604609,18.807943
2019-08-01 08:04:00,9507.14999,-42.141002,24.423706
